customer_id,age,tenure,number_of_products,has_card,is_active,has_complained,satisfaction_score,points_earned,credit_score,balance,salary,has_churned,is_female,geography,cardtype,clv_estimated,age_bucket,credit_bucket,balance_bucket,salary_bucket,clv_bucket,churn_risk
15632264,34,10,2,1,0,0,3,119,476,0.00,26260.98,0,1,France,Silver,866.61234,Adult,Low,Zero,Low,Low,Medium Risk
15691483,25,5,2,0,0,0,3,549,549,0.00,190857.79,0,1,France,Platinum,3435.44022,Adult,Low,Zero,High,Medium,Medium Risk
15600882,35,7,2,1,1,0,2,318,635,0.00,65951.65,0,1,Spain,Gold,1582.83960,Adult,Medium,Zero,Medium,Low,Low Risk
15643966,45,3,2,0,1,0,5,308,616,143129.41,64327.26,0,0,Germany,Gold,6497.10352,Adult,Medium,Medium,Medium,Medium,Medium Risk
15737452,58,1,1,1,0,0,2,163,653,132602.88,5097.67,1,0,Germany,Silver,2682.64362,Middle,Medium,Medium,Low,Low,Churned
15788218,24,9,2,1,1,0,3,544,549,0.00,14406.41,0,1,Spain,Silver,432.19230,Adult,Low,Zero,Low,Low,Low Risk
15661507,45,6,1,0,0,0,3,732,587,0.00,158684.81,0,0,Spain,Platinum,3332.38101,Adult,Low,Zero,High,Medium,Medium Risk
15568982,24,6,2,1,1,0,4,477,726,0.00,54724.03,0,1,France,Gold,1149.20463,Adult,Medium,Zero,Medium,Low,Low Risk
15577657,41,8,2,1,1,0,3,568,732,0.00,170886.17,0,0,France,Platinum,4613.92659,Adult,Medium,Zero,High,Medium,Medium Risk
15597945,32,8,2,1,0,0,2,336,636,0.00,138555.46,0,1,Spain,Diamond,3740.99742,Adult,Medium,Zero,Medium,Medium,Medium Risk
15699309,38,4,1,1,0,1,2,887,510,0.00,118913.53,1,1,Spain,Diamond,1783.70295,Adult,Low,Zero,Medium,Low,Churned
15725737,46,3,2,0,1,0,2,665,669,0.00,8487.75,0,0,France,Silver,101.85300,Middle,Medium,Zero,Low,Low,High Risk
15625047,38,5,1,1,1,0,3,225,846,0.00,187616.16,0,1,France,Platinum,3377.09088,Adult,High,Zero,High,Medium,Medium Risk
15738191,25,3,2,0,1,0,3,659,577,0.00,124508.29,0,0,France,Platinum,1494.09948,Adult,Low,Zero,Medium,Low,Low Risk
15736816,36,2,1,1,1,0,5,236,756,136815.64,170041.95,0,0,Germany,Diamond,5634.84675,Adult,High,Medium,High,Medium,Medium Risk
15700772,44,9,2,0,0,0,4,448,571,0.00,38433.35,0,0,France,Platinum,1153.00050,Adult,Low,Zero,Low,Low,Medium Risk
15728693,43,3,1,1,1,0,5,499,574,141349.43,100187.43,0,1,Germany,Diamond,6856.22636,Adult,Low,Medium,Medium,Medium,Medium Risk
15656300,29,0,2,1,1,0,2,343,411,59697.17,53483.21,0,0,France,Gold,757.42133,Adult,Low,Medium,Medium,Low,Low Risk
15589475,39,3,3,1,0,1,3,298,591,0.00,140469.38,1,1,Spain,Diamond,1685.63256,Adult,Low,Zero,Medium,Low,Churned
15706552,36,7,1,0,1,0,5,628,533,85311.70,156731.91,0,0,France,Silver,10586.50184,Adult,Low,Medium,High,High,Medium Risk
15750181,41,9,2,0,0,0,3,611,553,110112.54,81898.81,0,0,Germany,Gold,13468.21830,Adult,Low,Medium,Medium,High,High Risk
15659428,42,6,2,1,1,0,2,922,520,0.00,34410.55,0,1,Spain,Silver,722.62155,Adult,Low,Zero,Low,Low,Medium Risk
15732963,29,9,2,1,1,0,5,276,722,0.00,142033.07,0,1,Spain,Platinum,4260.99210,Adult,Medium,Zero,Medium,Medium,Low Risk
15794171,45,0,1,1,0,1,1,877,475,134264.04,27822.99,1,1,France,Diamond,1426.10937,Adult,Low,Medium,Low,Low,Churned
15788448,31,3,1,0,1,0,4,471,490,145260.23,114066.77,0,0,Spain,Silver,7179.21044,Adult,Low,Medium,Medium,Medium,Medium Risk
15729599,33,7,1,0,1,0,2,994,804,76548.60,98453.45,0,0,Spain,Gold,8486.77080,Adult,High,Medium,Medium,Medium,Medium Risk
15717426,36,7,1,1,1,0,3,944,850,0.00,40812.90,0,0,France,Gold,979.50960,Adult,High,Zero,Low,Low,Medium Risk
15585768,41,6,2,0,1,0,5,419,582,70349.48,178074.04,0,0,Germany,Gold,8664.01844,Adult,Low,Medium,High,Medium,Medium Risk
15619360,40,4,1,1,0,0,4,545,472,0.00,70154.22,0,0,Spain,Diamond,1052.31330,Adult,Low,Zero,Medium,Low,Medium Risk
15738148,51,8,1,0,0,1,5,828,465,122522.32,181297.65,1,1,France,Silver,15922.04535,Middle,Low,Medium,High,High,Churned
15687946,61,2,1,1,1,0,3,789,556,117419.35,94153.83,0,1,France,Platinum,4369.96497,Senior,Low,Medium,Medium,Medium,Medium Risk
15755196,49,2,1,0,0,1,2,567,834,131394.56,194365.76,1,1,France,Gold,5691.12864,Middle,High,Medium,High,Medium,Churned
15684171,61,5,1,1,1,0,1,884,660,155931.11,158338.39,0,1,Spain,Platinum,12205.95762,Senior,Medium,High,High,High,Medium Risk
15754849,32,4,2,1,1,0,1,296,776,109421.13,126517.46,0,1,Germany,Silver,7368.81840,Adult,High,Medium,Medium,Medium,Medium Risk
15602280,27,9,1,1,1,1,3,779,829,112045.67,119708.21,1,1,Germany,Diamond,14795.81330,Adult,High,Medium,Medium,High,Churned
15771573,39,9,1,1,1,1,1,730,637,137843.80,117622.80,1,1,Germany,Silver,17313.06400,Adult,Medium,Medium,Medium,High,Churned
15766205,38,2,1,0,1,0,3,960,550,103391.38,90878.13,0,0,Germany,Diamond,3919.64457,Adult,Low,Medium,Medium,Medium,Medium Risk
15771873,37,2,2,1,0,0,1,268,776,103769.22,194099.12,0,1,Germany,Silver,4859.96868,Adult,High,Medium,High,Medium,High Risk
15616550,44,10,2,1,0,0,4,829,698,116363.37,198059.16,0,0,Germany,Silver,19335.92298,Adult,Medium,Medium,High,High,High Risk
15768193,36,5,2,0,0,0,3,665,585,146050.97,86424.57,0,0,Germany,Silver,10318.70046,Adult,Low,Medium,Medium,High,Medium Risk
15683553,33,5,2,0,0,0,3,982,788,0.00,116978.19,0,1,France,Gold,2105.60742,Adult,High,Zero,Medium,Low,Medium Risk
15702298,41,8,1,0,0,1,3,343,655,125561.97,164040.94,1,0,Germany,Silver,15729.68268,Adult,Medium,Medium,High,High,Churned
15569590,42,1,1,1,0,1,2,225,601,98495.72,40014.76,1,0,Germany,Diamond,2210.00296,Adult,Medium,Medium,Low,Low,Churned
15760861,43,1,1,1,1,0,5,657,619,125211.92,113410.49,0,0,France,Silver,3184.70134,Adult,Medium,Medium,Medium,Medium,Medium Risk
15630053,45,5,1,1,0,0,2,221,656,127864.40,87107.57,0,0,France,Platinum,9239.80026,Adult,Medium,Medium,Medium,Medium,Medium Risk
15647091,19,0,1,0,0,0,2,406,725,75888.20,45613.75,0,0,Germany,Platinum,895.72325,Youth,Medium,Medium,Low,Low,Medium Risk
15623944,66,4,1,1,0,1,5,549,511,0.00,1643.11,1,1,Spain,Silver,24.64665,Senior,Low,Zero,Low,Low,Churned
15804771,51,4,1,1,1,0,4,954,614,40685.92,46775.28,0,0,France,Platinum,2735.92520,Middle,Medium,Low,Low,Low,High Risk
15651280,35,5,1,0,0,0,4,823,742,136857.00,84509.57,0,0,Germany,Gold,9732.59226,Adult,Medium,Medium,Medium,Medium,Medium Risk
15773469,27,9,2,0,0,0,5,769,687,152328.88,126494.82,0,1,Germany,Diamond,19027.73260,Adult,Medium,High,Medium,High,Medium Risk
15702014,33,1,2,0,0,0,5,481,555,56084.69,178798.13,0,0,Spain,Platinum,2194.48258,Adult,Low,Medium,High,Low,Medium Risk
15751208,56,8,1,1,1,0,4,903,684,78707.16,99398.36,0,0,Spain,Silver,9767.40012,Middle,Medium,Medium,Medium,Medium,High Risk
15592461,26,4,1,1,1,0,3,882,603,109166.37,92840.67,0,0,Germany,Platinum,6850.92855,Adult,Medium,Medium,Medium,Medium,Medium Risk
15789484,36,6,2,1,1,1,5,379,751,169831.46,27758.36,0,1,Germany,Gold,12471.12776,Adult,High,High,Low,High,High Risk
15696061,34,1,1,1,0,1,3,469,581,101633.04,110431.51,0,1,Germany,Platinum,2695.24986,Adult,Low,Medium,Medium,Low,High Risk
15641582,43,10,2,1,1,1,3,683,735,123180.01,196673.28,0,0,Germany,Platinum,20040.01934,Adult,Medium,Medium,High,High,High Risk
15638424,35,5,2,0,1,1,1,770,661,150725.53,113656.85,0,1,Germany,Gold,11089.35510,Adult,Medium,High,Medium,High,High Risk
15755648,21,8,1,1,0,0,5,985,675,98373.26,18203.00,0,1,France,Silver,9345.07440,Adult,Medium,Medium,Low,Medium,Medium Risk
15703793,58,2,4,1,0,1,4,725,738,133745.44,28373.86,1,0,Germany,Gold,4267.72794,Middle,Medium,Medium,Low,Medium,Churned
15620344,29,6,1,1,0,0,3,259,813,0.00,33953.87,0,0,France,Platinum,713.03127,Adult,High,Zero,Low,Low,Medium Risk
15812518,37,0,1,0,1,0,2,979,657,163607.18,44203.55,0,1,Spain,Gold,1768.68245,Adult,Medium,High,Low,Low,Medium Risk
15779052,25,5,2,1,1,0,2,988,604,157780.84,58426.81,0,1,Germany,Silver,10518.53298,Adult,Medium,High,Medium,High,Medium Risk
15770811,36,9,2,0,1,0,2,833,519,0.00,145562.40,0,0,France,Platinum,4366.87200,Adult,Low,Zero,Medium,Medium,Low Risk
15780961,21,1,2,1,0,0,1,527,735,178718.19,22388.00,0,1,France,Platinum,3708.69180,Adult,Medium,High,Low,Medium,Medium Risk
15614049,55,8,2,1,1,0,5,220,664,0.00,139161.64,0,0,France,Silver,3757.36428,Middle,Medium,Zero,Medium,Medium,High Risk
15662085,32,9,1,1,1,0,4,983,678,0.00,148210.64,0,1,France,Gold,4446.31920,Adult,Medium,Zero,Medium,Medium,Medium Risk
15575185,33,5,1,0,1,0,3,582,757,77253.22,194239.63,0,0,Spain,Silver,8131.50654,Adult,High,Medium,High,Medium,Medium Risk
15803136,41,10,2,1,0,0,3,281,416,122189.66,98301.61,0,1,Germany,Silver,16684.81573,Adult,Low,Medium,Medium,High,Medium Risk
15706021,34,1,2,0,0,0,3,798,665,96645.54,171413.66,0,1,France,Diamond,2961.39276,Adult,Medium,Medium,High,Low,Medium Risk
15663706,32,2,1,1,0,1,5,917,777,0.00,136458.19,1,1,France,Silver,1228.12371,Adult,High,Zero,Medium,Low,Churned
15641732,36,3,2,0,0,0,2,255,543,0.00,26019.59,0,1,France,Diamond,312.23508,Adult,Low,Zero,Low,Low,Medium Risk
15701164,34,4,1,1,1,0,4,511,506,90307.62,159235.29,0,1,France,Silver,6903.91035,Adult,Low,Medium,High,Medium,Medium Risk
15738751,46,4,2,1,0,0,1,498,493,0.00,1907.66,0,1,France,Silver,28.61490,Middle,Low,Zero,Low,Low,High Risk
15805254,75,10,2,1,1,0,5,651,652,0.00,114675.75,0,1,Spain,Diamond,3784.29975,Senior,Medium,Zero,Medium,Medium,Medium Risk
15762418,22,3,1,1,0,1,2,852,750,121681.82,128643.35,1,0,Spain,Silver,6410.99300,Adult,High,Medium,Medium,Medium,Churned
15625759,30,9,2,1,0,0,1,807,729,0.00,151869.35,0,0,France,Diamond,4556.08050,Adult,Medium,Zero,High,Medium,Medium Risk
15622897,46,4,3,1,0,1,3,470,646,0.00,93251.42,1,1,France,Platinum,1398.77130,Middle,Medium,Zero,Medium,Low,Churned
15767954,28,3,2,1,1,0,1,659,635,81623.67,156791.36,0,1,Germany,Diamond,5146.44312,Adult,Medium,Medium,High,Medium,Medium Risk
15757535,44,5,3,1,1,1,3,752,647,0.00,174205.22,1,1,Spain,Diamond,3135.69396,Adult,Medium,Zero,High,Medium,Churned
15731511,45,7,2,1,0,0,1,559,808,118626.55,147132.46,0,0,France,Silver,13021.30304,Adult,High,Medium,Medium,High,Medium Risk
15809248,36,10,2,1,0,0,2,375,524,0.00,109614.57,0,1,France,Gold,3617.28081,Adult,Low,Zero,Medium,Medium,Medium Risk
15640635,29,8,2,1,1,0,2,411,769,0.00,172290.61,0,0,France,Diamond,4651.84647,Adult,High,Zero,High,Medium,Low Risk
15676966,42,4,2,0,1,0,4,722,730,0.00,85982.47,0,0,Spain,Diamond,1289.73705,Adult,Medium,Zero,Medium,Low,Medium Risk
15699461,35,10,1,0,1,0,1,231,515,176273.95,121277.78,0,0,Spain,Gold,23392.30124,Adult,Low,High,Medium,High,Medium Risk
15738721,41,9,1,0,1,0,5,488,773,102827.44,64595.25,0,0,Spain,Diamond,12220.60150,Adult,High,Medium,Medium,High,Medium Risk
15693683,29,8,2,1,1,0,2,965,814,97086.40,197276.13,0,0,Germany,Gold,14064.23151,Adult,High,Medium,High,High,Medium Risk
15604348,22,8,2,0,0,0,4,289,710,0.00,99645.04,0,0,Spain,Silver,2690.41608,Adult,Medium,Zero,Medium,Low,Medium Risk
15633059,34,9,2,0,0,0,1,449,413,0.00,6534.18,0,0,France,Platinum,196.02540,Adult,Low,Zero,Low,Low,Medium Risk
15808582,40,6,1,1,1,0,2,651,665,0.00,161848.03,0,1,France,Silver,3398.80863,Adult,Medium,Zero,High,Medium,Medium Risk
15743192,44,6,2,0,0,0,2,520,623,0.00,167162.43,0,1,France,Diamond,3510.41103,Adult,Medium,Zero,High,Medium,Medium Risk
15580146,31,9,1,1,0,0,4,234,738,82674.15,41970.72,0,0,France,Diamond,9526.53660,Adult,Medium,Medium,Low,Medium,Medium Risk
15776605,36,7,2,1,0,0,5,458,528,0.00,60536.56,0,0,Spain,Silver,1452.87744,Adult,Low,Zero,Medium,Low,Medium Risk
15804919,65,1,1,1,1,1,2,915,670,0.00,177655.68,1,1,Spain,Gold,1065.93408,Senior,Medium,Zero,High,Low,Churned
15613854,46,4,2,1,1,1,3,299,622,107073.27,30984.59,1,1,Spain,Gold,5818.43235,Middle,Medium,Medium,Low,Medium,Churned
15599195,32,1,1,1,1,0,4,838,582,88938.62,10054.53,0,0,Germany,Gold,1839.09958,Adult,Low,Medium,Low,Low,Medium Risk
15812878,36,2,1,0,1,0,5,786,785,99806.85,36976.52,0,1,Germany,Platinum,3326.99418,Adult,High,Medium,Low,Medium,Medium Risk
15602312,33,5,1,0,0,0,3,509,605,150092.80,71862.79,0,0,Spain,Diamond,10299.09822,Adult,Medium,High,Medium,High,Medium Risk
15744689,35,9,1,1,0,1,3,328,479,92833.89,99449.86,1,0,Germany,Diamond,12266.88480,Adult,Low,Medium,Medium,High,Churned
15803526,30,3,1,0,1,0,4,347,685,90536.81,63082.88,0,0,Germany,Silver,4378.46696,Adult,Medium,Medium,Medium,Medium,Medium Risk
15665790,39,7,2,1,0,0,5,534,538,108055.10,27231.26,0,0,Germany,Silver,9297.95824,Adult,Low,Medium,Low,Medium,High Risk
15715951,42,2,1,0,0,0,5,709,562,100238.35,86797.41,0,0,France,Platinum,3788.32719,Adult,Low,Medium,Medium,Medium,Medium Risk
15591100,36,9,1,0,1,0,4,749,675,106190.55,22994.32,0,0,Spain,Silver,11308.88460,Adult,Medium,Medium,Low,High,Medium Risk
15609618,28,9,2,0,1,1,5,541,721,154475.54,101300.94,1,0,Germany,Platinum,18486.58220,Adult,Medium,High,Medium,High,Churned
15675522,30,9,2,1,1,0,2,736,628,132351.29,74169.13,0,1,Germany,Gold,15460.20290,Adult,Medium,Medium,Medium,High,Medium Risk
15705512,37,6,1,1,0,0,4,529,668,167864.40,115638.29,0,1,Germany,Silver,14178.91209,Adult,Medium,High,Medium,High,Medium Risk
15698028,41,1,2,1,0,0,4,594,506,0.00,31766.30,0,1,France,Gold,190.59780,Adult,Low,Zero,Low,Low,Medium Risk
15661670,31,8,1,1,0,1,1,462,524,107818.63,199725.39,1,1,Germany,Silver,15096.26223,Adult,Low,Medium,High,High,Churned
15600781,34,4,2,1,0,0,3,429,699,185173.81,120834.48,0,0,Germany,Platinum,11071.20770,Adult,Medium,High,Medium,High,Medium Risk
15682472,34,8,2,0,0,0,4,370,828,129433.34,38131.77,0,0,France,Silver,12678.55839,Adult,High,Medium,Low,High,Medium Risk
15580203,39,6,1,0,0,0,1,510,674,120193.42,100130.95,0,0,Spain,Platinum,10516.28935,Adult,Medium,Medium,Medium,High,Medium Risk
15690673,39,6,2,1,0,0,4,638,656,0.00,141069.88,0,1,France,Diamond,2962.46748,Adult,Medium,Zero,Medium,Low,Medium Risk
15760085,48,10,1,1,1,0,1,462,684,126384.42,198129.36,0,1,Germany,Gold,20440.55508,Middle,Medium,Medium,High,High,High Risk
15779659,28,3,1,0,0,0,4,718,625,0.00,183646.41,0,1,France,Gold,2203.75692,Adult,Medium,Zero,High,Low,Medium Risk
15627360,42,9,1,1,0,1,3,437,432,152603.45,110265.24,1,0,France,Diamond,18568.30220,Adult,Low,High,Medium,High,Churned
15671137,52,1,1,0,1,1,4,485,549,0.00,8636.05,1,1,France,Diamond,51.81630,Middle,Low,Zero,Low,Low,Churned
15782688,56,0,1,1,0,1,3,410,625,148507.24,46824.08,1,0,Germany,Platinum,1625.54464,Middle,Medium,Medium,Low,Low,Churned
15575492,41,7,2,1,0,0,2,666,828,0.00,171378.77,0,1,France,Platinum,4113.09048,Adult,High,Zero,High,Medium,Medium Risk
15591607,24,9,1,1,0,0,4,730,770,101827.07,167256.35,0,0,France,Gold,15200.39750,Adult,High,Medium,High,High,Medium Risk
15740404,34,3,2,1,1,0,2,375,758,0.00,124226.16,0,1,France,Platinum,1490.71392,Adult,High,Zero,Medium,Low,Low Risk
15718369,33,9,1,1,1,0,5,411,795,130862.43,114935.21,0,1,Germany,Gold,16534.29930,Adult,High,Medium,Medium,High,Medium Risk
15677871,38,9,1,1,1,0,4,595,687,122570.87,35608.88,0,0,France,Diamond,13325.35340,Adult,Medium,Medium,Low,High,Medium Risk
15642004,25,1,2,0,1,0,1,578,686,0.00,16459.37,0,0,France,Diamond,98.75622,Adult,Medium,Zero,Low,Low,Low Risk
15712543,39,7,2,1,1,0,2,377,789,124828.46,124411.08,0,0,Germany,Platinum,12972.14272,Adult,High,Medium,Medium,High,Medium Risk
15584518,50,5,2,1,1,0,2,831,589,144895.05,34941.23,0,1,Germany,Gold,9322.64514,Middle,Low,Medium,Low,Medium,High Risk
15802381,34,5,1,0,1,0,1,497,461,63663.93,167784.28,0,1,Germany,Silver,6839.95284,Adult,Low,Medium,High,Medium,Medium Risk
15610156,40,2,1,0,1,0,1,374,637,133463.10,93165.34,0,0,France,Platinum,4842.38106,Adult,Medium,Medium,Medium,Medium,Medium Risk
15594408,48,2,1,1,0,0,4,814,584,213146.20,75161.25,1,1,Spain,Diamond,7070.83725,Middle,Low,High,Medium,Medium,Churned
15640905,35,1,2,0,1,1,4,247,579,129490.36,8590.83,1,1,Spain,Gold,2641.35218,Adult,Low,Medium,Low,Low,Churned
15698932,44,10,1,1,0,0,5,965,756,137452.09,189543.90,0,0,Germany,Platinum,21374.67860,Adult,High,Medium,High,High,Medium Risk
15724944,34,7,2,1,1,0,3,912,663,0.00,180427.24,0,0,France,Silver,4330.25376,Adult,Medium,Zero,High,Medium,Low Risk
15628145,43,5,1,1,1,0,4,462,682,125851.93,193318.33,0,1,France,Gold,11030.84574,Adult,Medium,Medium,High,High,Medium Risk
15713483,52,2,1,1,0,1,5,883,793,0.00,159123.82,1,0,Spain,Gold,1432.11438,Middle,High,Zero,High,Low,Churned
15612350,31,5,1,1,0,0,2,402,691,40915.55,126213.84,1,1,France,Silver,4726.78212,Adult,Medium,Low,Medium,Medium,Churned
15800703,21,5,1,1,1,0,4,764,485,113157.22,54141.50,0,1,Spain,Gold,7763.98020,Adult,Low,Medium,Medium,Medium,Medium Risk
15705707,29,8,2,1,0,0,1,608,635,138296.94,141075.51,0,1,Spain,Platinum,16255.76337,Adult,Medium,Medium,Medium,High,Medium Risk
15754105,37,5,1,0,0,0,5,652,650,106967.18,24495.03,0,0,France,Platinum,6858.94134,Adult,Medium,Medium,Low,Medium,Medium Risk
15703264,44,9,1,1,0,0,2,520,735,120681.63,74836.34,0,0,France,Silver,14313.25320,Adult,Medium,Medium,Medium,High,Medium Risk
15794413,32,0,2,0,1,0,5,884,416,0.00,878.87,0,0,France,Gold,2.63661,Adult,Low,Zero,Low,Low,Low Risk
15650237,32,7,2,1,0,0,1,800,754,0.00,89520.75,0,1,Spain,Silver,2148.49800,Adult,High,Zero,Medium,Low,Medium Risk
15759618,48,9,1,1,0,1,4,697,535,0.00,149892.79,1,1,France,Gold,4496.78370,Middle,Low,Zero,Medium,Medium,Churned
15811589,42,8,2,1,0,0,2,427,716,0.00,180800.42,0,0,Spain,Silver,4881.61134,Adult,Medium,Zero,High,Medium,Medium Risk
15689044,37,2,1,1,0,0,1,620,539,127609.59,98646.22,0,0,France,Diamond,4716.10368,Adult,Low,Medium,Medium,Medium,Medium Risk
15709368,43,6,2,1,1,0,1,318,614,0.00,109041.53,0,1,France,Platinum,2289.87213,Adult,Medium,Zero,Medium,Low,Medium Risk
15679145,57,7,1,1,0,1,1,701,706,0.00,17941.16,1,0,Spain,Gold,430.58784,Middle,Medium,Zero,Low,Low,Churned
15655007,33,7,2,0,0,0,4,953,758,0.00,82996.47,0,1,France,Platinum,1991.91528,Adult,High,Zero,Medium,Low,Medium Risk
15623595,28,2,2,1,1,0,5,635,586,0.00,92067.35,0,1,Spain,Platinum,828.60615,Adult,Low,Zero,Medium,Low,Low Risk
15589975,73,6,1,0,1,0,1,250,646,97259.25,104719.66,0,1,France,Platinum,9007.26036,Senior,Medium,Medium,Medium,Medium,Medium Risk
15804017,33,4,1,0,0,0,3,662,631,123246.70,112687.57,0,1,Germany,Silver,7852.64855,Adult,Medium,Medium,Medium,Medium,Medium Risk
15692132,22,6,1,0,1,0,2,666,717,101060.25,84699.56,0,1,Spain,Gold,8852.90826,Adult,Medium,Medium,Medium,Medium,Medium Risk
15641122,30,2,2,1,0,0,4,699,684,0.00,83473.82,0,0,France,Diamond,751.26438,Adult,Medium,Zero,Medium,Low,Medium Risk
15630910,49,7,1,0,0,0,3,855,800,108007.36,47125.11,0,1,France,Platinum,9771.59144,Middle,High,Medium,Low,Medium,High Risk
15680772,36,2,2,1,1,0,5,534,721,0.00,106977.80,0,1,Spain,Silver,962.80020,Adult,Medium,Zero,Medium,Low,Low Risk
15658929,29,0,1,1,0,1,1,388,683,133702.89,55582.54,1,0,Spain,Platinum,1503.77652,Adult,Medium,Medium,Medium,Low,Churned
15585388,31,9,2,1,1,0,5,612,660,125189.75,139874.43,0,0,Germany,Gold,16715.20790,Adult,Medium,Medium,Medium,High,Medium Risk
15724623,24,7,1,1,0,1,2,801,704,113034.22,162503.48,1,1,Germany,Platinum,12942.82112,Adult,Medium,Medium,High,High,Churned
15588537,41,9,1,1,0,0,1,561,615,109013.23,196499.96,0,1,Spain,Platinum,16796.32180,Adult,Medium,Medium,High,High,Medium Risk
15574692,39,2,2,1,0,1,5,308,667,0.00,40721.24,1,1,Spain,Platinum,366.49116,Adult,Medium,Zero,Low,Low,Churned
15611325,24,9,2,0,0,0,5,643,682,57929.81,53134.30,0,0,Germany,Silver,7387.01000,Adult,Medium,Medium,Medium,Medium,Medium Risk
15587562,29,4,1,1,0,0,1,249,484,130114.39,164017.89,0,1,France,Gold,8965.98785,Adult,Low,Medium,High,Medium,Medium Risk
15613172,27,5,2,1,0,1,2,818,628,95826.49,155996.96,0,0,Germany,Silver,8557.53468,Adult,Medium,Medium,High,Medium,High Risk
15651022,44,10,1,1,0,1,1,775,480,129608.57,5472.70,1,0,Germany,Gold,14437.54180,Adult,Low,Medium,Low,High,Churned
15586310,30,4,1,1,0,1,5,872,578,169462.09,112187.11,0,0,France,Diamond,10155.91115,Adult,Low,High,Medium,High,High Risk
15625524,40,5,2,1,1,0,3,435,512,0.00,146457.83,0,0,France,Diamond,2636.24094,Adult,Low,Zero,Medium,Low,Low Risk
15755209,35,7,1,1,1,0,2,415,484,133868.21,27286.10,0,1,Spain,Silver,11364.32320,Adult,Low,Medium,Low,High,Medium Risk
15645248,30,0,2,1,1,0,2,430,510,0.00,130553.47,0,1,France,Diamond,391.66041,Adult,Low,Zero,Medium,Low,Low Risk
15790355,36,5,2,0,0,0,5,929,606,190479.48,179351.89,0,0,Germany,Platinum,14657.10282,Adult,Medium,High,High,High,Medium Risk
15762615,40,8,1,0,1,0,5,681,597,101993.12,94774.12,0,1,Spain,Silver,11738.28204,Adult,Low,Medium,Medium,High,Medium Risk
15625426,55,3,1,1,0,1,4,810,754,161608.81,8080.85,1,1,Germany,Gold,6561.32260,Middle,High,High,Low,Medium,Churned
15716334,45,2,1,1,1,0,5,739,850,122311.21,19482.50,0,1,Spain,Gold,3844.67880,Adult,High,Medium,Low,Medium,Medium Risk
15789669,65,2,2,1,1,0,1,280,510,0.00,48071.61,0,0,France,Silver,432.64449,Senior,Low,Zero,Low,Low,Medium Risk
15621075,45,1,2,1,0,0,2,250,778,162150.42,174531.27,0,1,Germany,Diamond,4290.19602,Adult,High,High,High,Medium,Medium Risk
15810845,42,2,2,1,1,0,4,991,636,0.00,55470.78,0,0,France,Platinum,499.23702,Adult,Medium,Zero,Medium,Low,Medium Risk
15719377,50,4,1,1,1,1,2,482,804,0.00,8546.87,1,1,France,Gold,128.20305,Middle,High,Zero,Low,Low,Churned
15654506,32,8,2,1,0,0,4,423,514,0.00,95857.18,0,0,France,Platinum,2588.14386,Adult,Low,Zero,Medium,Low,Medium Risk
15771977,39,1,1,1,0,0,5,260,730,99010.67,194945.80,0,1,France,Gold,3149.88820,Adult,Medium,Medium,High,Medium,Medium Risk
15708710,37,0,1,0,1,0,5,642,525,0.00,131521.72,0,1,Spain,Silver,394.56516,Adult,Low,Zero,Medium,Low,Medium Risk
15726676,30,5,2,0,1,0,4,701,616,0.00,196108.51,0,0,Spain,Platinum,3529.95318,Adult,Medium,Zero,High,Medium,Low Risk
